AssimLight,BlackScr,CO2air,EnScr,GHtime,HumDef,PipeGrow,PipeLow,RHair,Tair,VentLee,Ventwind
0,0,440.0000015,0,43326.00694,2.840000002,0,0,83.59999999,20.1,0,0
0,0,449,0,43326.01042,2.79,0,0,84,20.1,0,0
0,0,495.9999965,0,43326.01389,2.639999997,0,0,84.80000002,20.1,0,0
0,0,444.000007,0,43326.01736,2.600000005,0,0,85.09999996,20.1,0,0
0,0,466.9999985,0,43326.02083,2.550000003,0,0,85.49999997,20.1,0,0
0,0,455.0000004,0,43326.02431,2.480000002,0,0,85.69999999,20.1,0,0
0,0,463.0000001,0,43326.02778,2.409999998,0,0,86.20000001,20,0,0
0,0,466.9999981,0,43326.03125,2.359999991,0,0,86.50000002,20.09999999,0,0
0,0,448.0000019,0,43326.03472,2.270000009,0,0,86.69999998,20.00000001,0,0
0,0,455.9999997,0,43326.03819,2.250000001,0,0,86.99999999,20.1,0,0
0,0,468,0,43326.04167,2.21,0,0,87.2,20,0,0
0,0,473.9999997,0,43326.04514,2.179999996,0,0,87.50000001,20.09999999,0,0
0,0,470.0000005,0,43326.04861,2.120000008,0,0,87.69999997,20.00000001,0,0
0,0,470,0,43326.05208,2.110000001,0,0,87.79999999,20.09999999,0,0
0,0,471,0,43326.05556,2.050000002,0,0,88.09999999,20,0,0
0,0,470.9999997,0,43326.05903,2.049999998,0,0,88.20000001,20,0,0
0,0,463.0000037,0,43326.0625,1.999999996,0,0,88.40000003,20.00000001,0,0
0,0,499.9999963,0,43326.06597,1.960000004,0,0,88.69999997,20.09999999,0,0
0,0,497.0000001,0,43326.06944,1.96,0,0,88.8,20.1,0,0
0,0,478,0,43326.07292,1.93,0,0,89,20.2,0,0
0,0,481.9999993,0,43326.07639,1.879999998,0,0,89.20000002,20.2,0,0
0,0,471.0000015,0,43326.07986,1.850000004,0,0,89.49999996,20.2,0,0
0,0,471,0,43326.08333,1.840000001,0,0,89.59999999,20.29999999,0,0
0,0,480.9999997,0,43326.08681,1.790000002,0,0,89.79999999,20.2,0,0
0,0,494.9999995,0,43326.09028,1.739999999,0,0,89.80000001,20.2,0,0
0,0,480.999999,0,43326.09375,1.709999998,0,0,90.20000001,20.2,0,0
0,0,471.000001,0,43326.09722,1.690000002,0,0,90.29999999,20.2,0,0
0,0,494.9999992,0,43326.10069,1.68,0,0,90.4,20.3,0,0
0,0,466,0,43326.10417,1.67,0,0,90.6,20.5,0,0
0,0,460.0000004,0,43326.10764,1.659999996,0,0,90.70000001,20.4,0,0
0,0,465.9999992,0,43326.11111,1.600000008,0,0,90.89999997,20.4,0,0
0,0,471.9999996,0,43326.11458,1.6,0,0,90.99999999,20.49999999,0,0
0,0,499.9999991,0,43326.11806,1.550000002,0,0,91.1,20.4,0,0
0,0,474.0000002,0,43326.12153,1.53,0,0,91.3,20.4,0,0
0,0,478.9999997,0,43326.125,1.519999997,0,0,91.30000002,20.40000001,0,0
0,0,476.0000003,0,43326.12847,1.490000003,0,0,91.49999998,20.49999999,0,0
0,0,488.9999996,0,43326.13194,1.49,0,0,91.6,20.5,0,0
0,0,476,0,43326.13542,1.46,0,0,91.6,20.4,2.7,0
0,0,476.0000008,0,43326.13889,1.459999999,0,0,91.8,20.40000001,2.7,0
0,0,487.9999984,0,43326.14236,1.450000001,0,0,91.8,20.49999999,2.7,0
0,0,488.9999999,0,43326.14583,1.440000001,0,0,91.89999999,20.5,2.7,0
0,0,490,0,43326.14931,1.44,0,0,91.9,20.5,2.7,0
0,0,493.0000006,0,43326.15278,1.42,0,0,92,20.5,2.7,0
0,0,509.9999974,0,43326.15625,1.429999998,0,0,92,20.4,2.7,0
0,0,484.0000026,0,43326.15972,1.410000002,0,0,92,20.4,2.7,0
0,0,454.000001,0,43326.16319,1.439999999,0,0,92,20.5,2.7,0
0,0,473,0,43326.16667,1.42,0,0,92,20.5,2.7,0
0,0,471.9999993,0,43326.17014,1.43,0,0,91.80000001,20.4,0.7,0
0,0,462.0000013,0,43326.17361,1.43,0,0,91.89999999,20.4,0.7,0
0,0,467.9999996,0,43326.17708,1.410000001,0,0,91.99999999,20.4,0.7,0
0,0,473.9999998,0,43326.18056,1.41,0,0,92,20.4,0.7,0
0,0,467.0000012,0,43326.18403,1.41,0,0,92,20.4,0.7,0
0,0,502.0000013,0,43326.1875,1.419999999,0,0,92,20.49999999,0.69999993,0
0,0,514.9999987,0,43326.19097,1.410000001,0,0,92,20.40000001,7.04E-08,0
0,0,497.0000006,0,43326.19444,1.41,0,0,92,20.4,0,0
0,0,491,0,43326.19792,1.41,0,0,92,20.4,0,0
0,0,503.0000001,0,43326.20139,1.380000001,0,0,92.09999999,20.30000001,0,0
0,0,503.9999999,0,43326.20486,1.389999999,0,0,92.00000001,20.39999999,0,0
0,0,479.0000017,0,43326.20833,1.39,0,0,92.09999999,20.4,0,0
0,0,473.0000002,0,43326.21181,1.370000001,0,0,92.2,20.4,0,0
0,0,481.0000006,0,43326.21528,1.369999999,0,0,92.2,20.3,0,0
0,0,498.0000009,0,43326.21875,1.350000003,0,0,92.2,20.3,0,0
0,0,506.9999991,0,43326.22222,1.379999997,0,0,92.2,20.3,0,0
0,0,496.0000004,0,43326.22569,1.360000001,0,0,92.2,20.4,0,0
0,0,484,0,43326.22917,1.34,0,0,92.2,20.2,0,0
0,0,484.0000013,0,43326.23264,1.340000001,0,0,92.1,20.2,0,0
0,0,503.9999973,0,43326.23611,1.359999997,0,0,92.1,20.2,0,0
0,0,470.0000023,0,43326.23958,1.369999999,0,0,92.1,20.10000001,0,0
0,0,487.9999994,0,43326.24306,1.36,0,0,92.1,20,0,0
0,0,487.0000003,0,43326.24653,1.38,0,0,92,20,0,0
0,0,496.9999986,0,43326.25,1.379999998,0,0,92,20.09999999,0,0
0,0,483.0000014,0,43326.25347,1.360000002,0,0,92,20.00000001,0,0
0,0,471.0000004,0,43326.25694,1.399999999,0,0,92,20.1,0,0
0,0,489,0,43326.26042,1.38,0,0,92,20,0,0
0,0,506.0000007,0,43326.26389,1.38,0,0,92,20,0,0
0,0,515.9999987,0,43326.26736,1.38,0,0,92,20,0,0
0,0,468.0000032,0,43326.27083,1.38,0,0,92,20,0,0
0,0,491.9999992,0,43326.27431,1.39,0,0,92,20,0,0
0,0,488,0,43326.27778,1.39,0,0,91.9,19.9,0,0
0,0,487.0000002,0,43326.28125,1.379999999,0,0,91.9,19.99999999,0,0
0,0,488.9999998,0,43326.28472,1.370000001,0,0,91.9,19.90000001,0,0
0,0,466.0000008,0,43326.28819,1.37,0,0,91.9,19.9,0,0
0,0,504,0,43326.29167,1.41,0,0,91.8,20,0,0
0,0,487.0000007,0,43326.29514,1.470000005,0,0,91.49999996,20.10000001,0,0
0,0,497.9999985,0,43326.29861,1.549999989,0,0,90.90000008,20.19999999,0,0
0,0,492.0000004,0,43326.30208,1.739999987,0,0,90.00000006,20.49999998,3.799999745,0
0,0,478.0000005,0,43326.30556,1.929999994,0,0,89.00000003,20.5,11.89999973,1.599999946
0,0,486.9999996,0,43326.30903,2.150000016,0,0,87.69999991,20.50000001,11.90000034,1.6
0,0,476.0000016,0,43326.3125,2.620000029,0,0,85.09999987,20.80000002,21.99999779,1.599999839
