GHtime,Current VP_air,Next VP_air,Predicted VP_air,Predicted VP_top
43326.0069444445,1956.542637383874,1965.904085567318,2331.2052540490276,2323.9725627927683
43326.0104166666,1965.904085567318,1984.6269820911414,2437.3509438177566,2433.6172428354625
43326.0138888889,1984.6269820911414,1991.6480666986233,2467.517810960226,2464.7659579056767
43326.0173611111,1991.6480666986233,2001.0095150390002,2476.1655827242566,2473.7108106196474
43326.0208333334,2001.0095150390002,2005.690239523057,2480.144676695023,2478.139131046928
43326.0243055555,2005.690239523057,2004.9916274229734,2481.4381096973543,2479.5064587340576
43326.0277777778,2004.9916274229734,2024.413134948824,2471.1210710925316,2469.385235828345
43326.03125,2024.413134948824,2016.6215093834364,2479.0610566713176,2477.0888275864454
43326.0347222222,2016.6215093834364,2036.1149451099977,2470.6519068426114,2468.943985642786
43326.0381944445,2036.1149451099977,2028.2513904260536,2477.6140381835094,2475.3176657912404
43326.0416666666,2028.2513904260536,2047.816755266828,2468.9544195756544,2466.924028714837
43326.0451388889,2047.816755266828,2039.881273315417,2477.101384994007,2474.7835556542977
43326.0486111111,2039.881273315417,2054.837840813011,2467.6474928090565,2465.33208900212
43326.0520833334,2054.837840813011,2049.1851779023873,2475.705984659284,2473.1280091124468
43326.0555555555,2049.1851779023873,2051.5111542336967,2467.016011185943,2464.632043481156
43326.0590277778,2051.5111542336967,2056.163108785584,2464.690275026041,2462.2573481532363
43326.0625,2056.163108785584,2075.901097885715,2464.1895798232717,2461.7735757072824
43326.0659722222,2075.901097885715,2078.241461806983,2474.9417226611117,2472.384186776361
43326.0694444445,2078.241461806983,2095.794594064318,2478.0415980091766,2475.598086754783
43326.0729166666,2095.794594064318,2100.5042453112073,2489.6423405486776,2487.033480921487
43326.0763888889,2100.5042453112073,2107.5687200498446,2492.980088826434,2490.49302539421
43326.0798611111,2107.5687200498446,2122.9527056755774,2493.8717367661106,2491.402119153372
43326.0833333334,2122.9527056755774,2114.6331974357686,2504.524825706005,2501.776596857322
43326.0868055555,2114.6331974357686,2114.633197472839,2496.5919316829,2494.098627929833
43326.0902777778,2114.633197472839,2124.052498940243,2494.322234124106,2491.747897148891
43326.09375,2124.052498940243,2126.4073238531214,2493.68070868752,2491.085985527965
43326.0972222222,2126.4073238531214,2141.9076410704524,2492.809910921119,2490.042661669654
43326.1006944445,2141.9076410704524,2173.2090767008544,2500.7249939188714,2497.1196136073495
43326.1041666666,2173.2090767008544,2162.276013204288,2522.661555928223,2518.239582853239
43326.1076388889,2162.276013204288,2167.0439858126874,2517.822683920491,2513.7810539746943
43326.1111111111,2167.0439858126874,2182.8038177011717,2516.4882461968377,2512.406609470364
43326.1145833334,2182.8038177011717,2171.8119603874966,2527.0149206469187,2522.7208209956093
43326.1180555555,2171.8119603874966,2176.5799335872257,2517.8177793458017,2513.5186239926647
