GHtime,Current CO2_air,Next CO2_air,Predicted CO2_air,Predicted CO2_top
43328.0833333334,901.8045052582997,828.0041424743499,904.8378197556699,814.8775131283604
43328.0868055555,828.0041424743499,837.0041856638504,907.9569587307191,773.315624738871
43328.0902777778,837.0041856638504,856.8042830947502,911.0684250866129,757.4823707936262
43328.09375,856.8042830947502,847.8042399052497,914.0753380027379,749.007989379211
43328.0972222222,847.8042399052497,865.8043283965001,917.0733273823283,743.8197023273401
43328.1006944445,865.8043283965001,846.0042299999999,920.0687687985234,741.1253839198671
43328.1041666666,846.0042299999999,869.4043454308998,923.161796759735,739.6957940877816
43328.1076388889,869.4043454308998,846.0042331381986,926.2527504590753,738.9974523821774
43328.1111111111,846.0042331381986,903.6045141376,929.3417568499616,738.7301636429683
43328.1145833334,903.6045141376,790.2039548020509,932.4288743568916,738.5810305003031
43328.1180555555,790.2039548020509,822.6041141466507,935.5141255170472,738.5000139912528
43328.1215277778,822.6041141466507,856.8042805600495,938.5975318303006,738.5231928192205
43328.125,856.8042805600495,822.6041164399503,941.6791059077466,738.5431021674018
43328.1284722222,822.6041164399503,837.0041845171996,944.6595314406702,738.5603797155104
43328.1319444445,837.0041845171996,842.4042119999999,947.6451125114842,738.6776364578785
43328.1354166666,842.4042119999999,865.8043267067003,950.629095758965,738.7687090799225
43328.1388888889,865.8043267067003,831.6041625865993,953.6114866690533,738.916363360438
43328.1423611111,831.6041625865993,847.8042379136998,956.5922964710338,739.0951739618773
43328.1458333334,847.8042379136998,847.8042389999999,959.5715300164366,739.2720855255195
43328.1493055555,847.8042389999999,829.8041502069997,962.549194631193,739.4999066779237
43328.1527777778,829.8041502069997,865.8043246547998,965.5253069898057,739.817896875467
43328.15625,865.8043246547998,822.6041173451999,968.499888134527,740.22607489181
43328.1597222222,822.6041173451999,862.204309672299,971.4729548168444,740.6828877846802
43328.1631944445,862.204309672299,862.204311,974.459992456131,741.145687270394
43328.1666666666,862.204311,887.4044347067003,977.4535520411977,741.6138830993284
43328.1701388889,887.4044347067003,853.2042705865994,980.5456103022215,742.0365763789459
43328.1736111111,853.2042705865994,846.0042304828002,983.6363555260629,742.4575226338729
43328.1770833334,846.0042304828002,860.4043015171998,986.7257976257288,742.9556739843433
43328.1805555555,860.4043015171998,885.6044281810503,989.813947388358,743.4584221751711
43328.1840277778,885.6044281810503,891.0044569915498,992.8835634932975,743.9618198751664
43328.1875,891.0044569915498,910.8045520084502,995.9516909656863,744.4694276129211
43328.1909722222,910.8045520084502,880.2044020259492,999.0183159375558,744.8271948432995
43328.1944444445,880.2044020259492,860.4043019999999,1002.083423176959,745.1819628991303
43328.1979166666,860.4043019999999,835.2041788967994,1005.1469985014418,745.393112492955
43328.2013888889,835.2041788967994,878.4043862064009,1008.2090275479444,745.6012169949347
43328.2048611111,878.4043862064009,837.0041877760998,1011.2695232710562,745.9140323588585
43328.2083333334,837.0041877760998,907.2045336463495,1014.3284986731168,746.2234449979339
43328.2118055555,907.2045336463495,907.2045349136997,1017.3859805819388,746.7659112862989
