GHtime,Current CO2_air,Next CO2_air,Predicted CO2_air,Predicted CO2_top
43326.0069444445,792.0039626554002,808.204041,796.319402010212,792.8998928373584
43326.0104166666,808.204041,892.8044577236008,800.4752394874022,795.2966129479667
43326.0138888889,892.8044577236008,799.2040085527983,804.5483154981599,798.4622541479371
43326.0173611111,799.2040085527983,840.6042002239001,808.5780463144301,802.0214128806078
43326.0208333334,840.6042002239001,819.0040957241995,812.5874661948217,805.7981523151992
43326.0243055555,819.0040957241995,833.404167241399,816.584928029198,809.6719494864433
43326.0277777778,833.404167241399,840.6041995600496,820.5754803036097,813.5947723677332
43326.03125,840.6041995600496,806.4040354399503,824.5617151036638,817.5419774516839
43326.0347222222,806.4040354399503,820.8041035171998,828.5449638023499,821.5009217940501
43326.0381944445,820.8041035171998,842.4042119999999,832.5223134249525,825.4435950421637
43326.0416666666,842.4042119999999,853.2042655171998,836.4967299412086,829.3951139681075
43326.0451388889,853.2042655171998,846.0042309656003,840.4687618447015,833.3502902619883
43326.0486111111,846.0042309656003,846.0042299999999,844.4346249079613,837.2819776016626
43326.0520833334,846.0042299999999,847.8042389396493,848.3974339089663,841.2213250921424
43326.0555555555,847.8042389396493,847.8042385171997,852.3576878483659,845.163612744741
43326.0590277778,847.8042385171997,833.4041736988486,856.3156443674736,849.1064218729035
43326.0625,833.4041736988486,900.0044933011512,860.2714371738828,853.0485138713133
43326.0659722222,900.0044933011512,894.6044731810503,864.2251364974564,856.9892552458153
43326.0694444445,894.6044731810503,860.4043019999999,868.1767798546673,860.9283227643833
43326.0729166666,860.4043019999999,867.6043366723006,872.1263881507945,864.8655522772729
43326.0763888889,867.6043366723006,847.8042416554002,876.0739735787341,868.8008611936094
43326.0798611111,847.8042416554002,847.8042389999999,880.0195439702841,872.7342087166869
43326.0833333334,847.8042389999999,865.8043283965001,883.9631049325794,876.6655754922381
43326.0868055555,865.8043283965001,891.0044541550992,887.9046607115108,880.5949531199436
43326.0902777778,891.0044541550992,865.8043271895006,891.8442151105038,884.5223388026834
43326.09375,865.8043271895006,847.8042408104993,895.7817715384922,888.4477326278915
43326.0972222222,847.8042408104993,891.0044535515993,899.7173332202292,892.371136135131
43326.1006944445,891.0044535515993,838.8041939999999,903.6419436525861,896.2376083473076
43326.1041666666,838.8041939999999,828.0041407241994,907.5556732048725,900.0808352086846
43326.1076388889,828.0041407241994,838.8041925515994,911.4643566385204,903.9455365296855
43326.1111111111,838.8041925515994,849.6042472758005,915.3692241934906,907.820014785182
43326.1145833334,849.6042472758005,900.0044983102001,919.2709079906228,911.6982778054859
43326.1180555555,900.0044983102001,853.2042663017498,923.1625656744523,915.5331916116705
43326.1215277778,853.2042663017498,862.2043104568509,927.0496785275134,919.3825991792627
43326.125,862.2043104568509,856.8042845431492,930.9331306050077,923.2381030979247
43326.1284722222,856.8042845431492,880.2044002154498,934.8133766277923,927.0954036049636
43326.1319444445,880.2044002154498,856.8042839999999,938.6906512274205,930.9522999397806
43326.1354166666,856.8042839999999,856.8042854484005,942.4114273674516,929.6982055813388
43326.1388888889,856.8042854484005,878.4043891032004,945.9008801675471,930.6325722014626
43326.1423611111,878.4043891032004,880.2044008793004,949.2695047994172,932.6453943679279
43326.1458333334,880.2044008793004,882.0044099396491,952.572072863849,935.1867140520287
43326.1493055555,882.0044099396491,887.4044380259494,955.785439268358,936.8191680073882
43326.1527777778,887.4044380259494,918.004585292701,958.9221482125996,939.0768140918024
43326.15625,918.004585292701,871.2043607072989,962.0141742810533,941.6353781745283
43326.1597222222,871.2043607072989,817.2040878104993,965.077273423421,944.3354231633201
43326.1631944445,817.2040878104993,851.404257,968.1432400644762,947.653236450998
43326.1666666666,851.404257,849.6042467930002,971.2163255434632,950.7561391220742
43326.1701388889,849.6042467930002,831.6041604139992,974.4264624147974,958.4166360492052
43326.1736111111,831.6041604139992,842.4042112758004,977.8389085735312,964.0505590955049
43326.1770833334,842.4042112758004,853.2042656378993,981.3509597325276,968.6536623229831
43326.1805555555,853.2042656378993,840.6042051122511,984.9105302927769,972.7309953042156
43326.1840277778,840.6042051122511,903.6045203536503,988.491208291056,976.5387235247208
43326.1875,903.6045203536503,927.0046326463496,992.079603405137,980.2067792686629
43326.1909722222,927.0046326463496,894.6044740863,995.7228651572241,985.6575307272229
43326.1944444445,894.6044740863,883.804419,999.4476707365354,990.2982040648758
43326.1979166666,883.804419,905.4045271206996,1003.2127810739436,994.5226482242491
43326.2013888889,905.4045271206996,907.2045357586007,1006.9970821558763,998.5325289364123
43326.2048611111,907.2045357586007,862.2043140175008,1010.7897648664457,1002.4311075827923
43326.2083333334,862.2043140175008,851.4042573621007,1014.5852962496656,1006.2712592371668
43326.2118055555,851.4042573621007,865.8043300259493,1018.3808450652035,1010.0800594723141
43326.2152777778,865.8043300259493,896.404483629449,1022.1749633381684,1013.8713736481525
43326.21875,896.404483629449,912.6045613705509,1025.9669115142117,1017.6523030601143
